Source,Target,Type
Ann Wilson,Nancy Wilson,Undirected
Emma Anderson,Miki Berenyi,Undirected
Aaliyah Dana Haughton,Ella Marija Lani Yelich-O'Connor,Undirected
Adele Laurie Blue Adkins,Jasmine Lucilla Elizabeth Jennifer van den Bogaerde,Undirected
Adrianne Lenker,Molly Rankin,Undirected
Agnes Obel,Kelly Lee Owens,Undirected
Aimee Duffy,Stefy Rae,Undirected
Aimee Mann,Ani DiFranco,Undirected
Aimee Mann,Amy Lee,Undirected
Aimee Mann,Amy Winehouse,Undirected
Aimee Nash,Emma Richardson,Undirected
Alaina Moore,Ellie Roswell,Undirected
Alanis Morissette,Fiona Apple,Undirected
Alejandra Deheza,Sera Timms,Undirected
Alessia Cara,Dua Lipa,Undirected
Alexa Melo,Elise Trouw,Undirected
Alexandra Elene MacLean Denny,Sadenia Reader,Undirected
Alexis Krauss,Greta Valenti,Undirected
Alicia Bognanno,Jessica Lea Mayfield,Undirected
Alicia Witt,Julia Othmer,Undirected
Alisa Xayalith,Sarah Barthel,Undirected
Alison Brie,Evie Templeton,Undirected
Alison Brie,Scarlett Johansson,Undirected
Alison Brie,Brie Larson,Undirected
Alison Brie,Gillian Jacobs,Undirected
Alison Goldfrapp,Imogen Heap,Undirected
Alison Mosshart,Liela Moss,Undirected
Alison Moyet,Laura Branigan,Undirected
Alison Shaw,Kasey Chambers,Undirected
Amanda Kravat,Ashen Keilyn,Undirected
Amelia Meath,Lou Rhodes,Undirected
Amy Douglas White,Katie White,Undirected
Amy Lee,Amy Winehouse,Undirected
Ana Voog,Ann Magnuson,Undirected
Andrea Silva,Michelle Joy,Undirected
Angel Olsen,Anna Calvi,Undirected
Anja Garbarek,Anne Marie Almedal,Undirected
Anna Fox Rochinski,Romy Madley Croft,Undirected
Anna Waronker,Justine Frischmann,Undirected
Annabella Lwin,Wendy O Williams,Undirected
Annalee Fery,Lauren Mayberry,Undirected
Anne Decatur Danielewski,Samantha Marie Sprackling,Undirected
Annie Clark,Charlotte Gainsbourg,Undirected
Annie Hardy,Katie Jane Garside,Undirected
Annie Lennox,Emily Haines,Undirected
Anomie Belle,Ellie Goulding,Undirected
Antoinette Halliday,Shirley Ann Manson,Undirected
Anya Taylor-Joy,Charlize Theron,Undirected
Aretha Franklin,Diana Ross,Undirected
Astrid Plane,Terri Kathleen Nunn,Undirected
Astrud Gilberto,Bebel Gilberto,Undirected
Avril Lavigne,Taylor Michel Momsen,Undirected
Barbara Stanisława Trzetrzelewska,Dido Florian Cloud de Bounevialle O'Malley Armstrong,Undirected
Bedouine,Miya Folick,Undirected
Bernadette Peters,Olivia Newton-John,Undirected
Beth Gibbons,Beth Orton,Undirected
Beth Thompson,Kazu Makino,Undirected
Bethany Cosentino,Natalie Laura Mering,Undirected
Betsy Martin,Julianne Regan,Undirected
Betty Everett,Irma Thomas,Undirected
Billie Eilish,Janelle Monáe,Undirected
Billie Holiday,Etta James,Undirected
Björk Guðmundsdóttir,Polly Jean Harvey,Undirected
Bonnie Raitt,Lucinda Williams,Undirected
Bonnie Tyler,Marie Fredriksson,Undirected
